name_norm,product_name_old,product_name_new,barcode_norm_old,barcode_norm_new,unit_price_num_old,unit_step_num_old,unit_type_norm_old,base_price_old,unit_price_num_new,unit_step_num_new,unit_type_norm_new,base_price_new,base_unit,base_price_diff,base_price_pct,available_old,available_new,categories_old,categories_new
"kotányi real, dried saffron 0,12 g","Kotányi Real, Dried Saffron 0,12 g","Kotányi Real, Dried Saffron 0,12 g",5995863010080,5995863010080,599.0,0.12,g,4991666.666666667,649.0,0.12,g,5408333.333333334,Ft/kg,416666.666666667,8.34724540901503,True,True,fuszerek-99,fuszerek-165
"1x1 vitaday magnézium + b6-vitamin étrend-kiegészítő filmtabletta 30 db 10,35 g","1x1 Vitaday Magnézium + B6-vitamin étrend-kiegészítő filmtabletta 30 db 10,35 g","1x1 Vitaday Magnézium + B6-vitamin étrend-kiegészítő filmtabletta 30 db 10,35 g",,,789.0,10.35,g,76231.88405797101,1059.0,10.35,g,102318.84057971016,Ft/kg,26086.95652173915,34.22053231939166,True,True,egyeb-etrendkiegeszitok-vitaminok-90,egyeb-etrendkiegeszitok-vitaminok-152
lucullus morzsolt tárkonylevél 5 g,Lucullus morzsolt tárkonylevél 5 g,Lucullus morzsolt tárkonylevél 5 g,5997359135055,5997359135055,229.0,5.0,g,45800.0,324.0,5.0,g,64800.0,Ft/kg,19000.0,41.48471615720524,True,True,fuszerek-99,fuszerek-165
classic alaszkai tőkehalfilé darabok növényi olajban füst ízesítéssel 125 g,Classic alaszkai tőkehalfilé darabok növényi olajban füst ízesítéssel 125 g,Classic alaszkai tőkehalfilé darabok növényi olajban füst ízesítéssel 125 g,5999548671962,5999548671962,1159.0,85.0,g,13635.294117647058,2575.0,85.0,g,30294.11764705882,Ft/kg,16658.823529411762,122.17428817946505,True,False,fustolt-hal-egyeb-halkeszitmenyek-127,hal-127
lucullus morzsolt borsikafű 5 g,Lucullus morzsolt borsikafű 5 g,Lucullus morzsolt borsikafű 5 g,5997359137974,5997359137974,249.0,5.0,g,49800.0,324.0,5.0,g,64800.0,Ft/kg,15000.0,30.120481927710845,True,True,bors-296,bors-167
lucullus szárított metélőhagyma 5 g,Lucullus szárított metélőhagyma 5 g,Lucullus szárított metélőhagyma 5 g,5997359135154,5997359135154,249.0,5.0,g,49800.0,324.0,5.0,g,64800.0,Ft/kg,15000.0,30.120481927710845,True,True,fuszerek-99,fuszerek-165
lucullus morzsolt kakukkfű 5 g,Lucullus morzsolt kakukkfű 5 g,Lucullus morzsolt kakukkfű 5 g,5997359135178,5997359135178,259.0,5.0,g,51800.0,324.0,5.0,g,64800.0,Ft/kg,13000.0,25.096525096525095,True,True,fuszerek-99,fuszerek-165
lucullus morzsolt lestyánlevél 5 g,Lucullus morzsolt lestyánlevél 5 g,Lucullus morzsolt lestyánlevél 5 g,5997359137967,5997359137967,259.0,5.0,g,51800.0,324.0,5.0,g,64800.0,Ft/kg,13000.0,25.096525096525095,True,True,fuszerek-99,fuszerek-165
dr. chen patika ginseng royal jelly étrend-kiegészítő ivóampulla 10 x 10 ml (100 ml),Dr. Chen Patika Ginseng Royal Jelly étrend-kiegészítő ivóampulla 10 x 10 ml (100 ml),Dr. Chen Patika Ginseng Royal Jelly étrend-kiegészítő ivóampulla 10 x 10 ml (100 ml),5999561421728,5999561421728,2319.0,100.0,ml,23190.0,3499.0,100.0,ml,34990.0,Ft/l,11800.0,50.884001724881415,True,True,egyeb-etrendkiegeszitok-vitaminok-90,egyeb-etrendkiegeszitok-vitaminok-152
"beluga noble prémium vodka 40% 0,7 l","Beluga Noble prémium vodka 40% 0,7 l","Beluga Noble prémium vodka 40% 0,7 l",5999139000485,5999139000485,14049.0,700.0,ml,20070.0,22099.0,700.0,ml,31570.0,Ft/l,11500.0,57.299451918286,True,True,vodka-182,vodka-243
